iter	Passed	Remaining
398	41283	62184
399	41462	62193
400	41654	62221
401	41802	62184
402	41969	62172
403	42113	62127
404	42296	62139
405	42383	62010
406	42448	61848
407	42513	61686
408	42794	61837
409	42930	61778
410	42995	61616
411	43062	61457
412	43178	61369
413	43236	61198
414	43334	61086
415	43487	61049
416	43582	60932
417	43677	60814
418	43861	60820
419	43967	60717
420	44077	60619
421	44315	60697
422	44608	60849
423	44879	60968
424	45107	61027
425	45524	61340
426	45750	61392
427	45888	61327
428	46139	61411
429	46205	61248
430	46333	61169
431	46420	61033
432	46499	60889
433	46593	60764
434	46737	60705
435	46874	60635
436	47129	60717
437	47228	60599
438	47362	60525
439	47516	60475
440	47658	60410
441	47751	60283
442	47877	60198
443	48019	60132
444	48127	60023
445	48224	59901
446	48357	59824
447	48475	59728
448	48638	59687
449	48767	59604
450	48848	59463
451	48903	59290
452	48968	59129
453	49042	58980
454	49118	58834
455	49179	58670
456	49250	58518
457	49328	58375
458	49383	58205
459	49444	58043
460	49499	57875
461	49598	57757
462	49672	57611
463	49722	57437
464	49776	57269
465	49827	57098
466	49901	56953
467	49977	56811
468	50066	56685
469	50116	56514
470	50167	56345
471	50243	56204
472	50319	56064
473	50423	55955
474	50506	55823
475	50581	55681
476	50676	55563
477	50813	55490
478	51031	55506
479	51118	55378
480	51200	55245
481	51274	55104
482	51403	55021
483	51502	54907
484	51572	54763
485	51638	54613
486	51699	54459
487	51785	54332
488	51877	54211
489	51933	54053
490	51986	53891
491	52047	53739
492	52109	53589
493	52183	53451
494	52260	53316
495	52370	53215
496	52426	53059
497	52492	52914
498	52568	52778
499	52640	52640
500	52709	52498
501	52770	52350
502	52869	52239
503	52961	52120
504	53013	51964
505	53079	51820
506	53147	51680
507	53217	51541
508	53292	51408
509	53362	51269
510	53475	51173
511	53540	51030
512	53613	50896
513	53693	50768
514	53762	50630
515	53922	50578
516	54217	50652
517	54323	50548
518	54385	50403
519	54466	50276
520	54537	50141
521	54629	50024
522	54697	49886
523	54747	49732
524	54804	49584
525	54897	49470
526	54968	49336
527	55020	49184
528	55083	49044
529	55144	48902
530	55213	48766
531	55315	48661
532	55370	48513
533	55428	48369
534	55483	48224
535	55574	48109
536	55651	47982
537	55702	47834
538	55759	47690
539	55818	47548
540	55870	47402
541	55934	47265
542	56040	47164
543	56098	47024
544	56156	46883
545	56212	46740
546	56265	46596
547	56314	46449
548	56388	46322
549	56459	46194
550	56552	46083
551	56608	45942
552	56661	45800
553	56712	45656
554	56777	45524
555	56853	45400
556	56929	45277
557	56996	45147
558	57046	45004
559	57122	44882
560	57206	44766
561	57292	44651
562	57357	44520
563	57431	44397
564	57484	44257
565	57533	44115
566	57596	43984
567	57670	43862
568	57747	43741
569	57809	43610
570	57962	43547
571	58018	43412
572	58080	43281
573	58151	43157
574	58229	43039
575	58290	42908
576	58390	42806
577	58470	42689
578	58526	42555
579	58624	42452
580	58712	42341
581	58777	42214
582	58879	42114
583	58949	41991
584	59003	41857
585	59052	41719
586	59108	41587
587	59166	41456
588	59246	41341
589	59327	41227
590	59390	41100
591	59444	40968
592	59504	40840
593	59579	40722
594	59646	40599
595	59793	40531
596	59880	40421
597	59989	40327
598	60061	40207
599	60123	40082
600	60237	39991
601	60355	39902
602	60436	39789
603	60515	39675
604	60665	39607
605	60769	39510
606	60898	39428
607	61163	39434
608	61267	39335
609	61344	39220
610	61428	39108
611	61494	38986
612	61569	38870
613	61647	38755
614	61725	38641
615	61838	38548
616	61913	38432
617	61978	38310
618	62062	38200
619	62123	38075
620	62205	37964
621	62288	37853
622	62361	37737
623	62429	37617
624	62528	37517
625	62633	37419
626	62727	37316
627	62808	37204
628	62881	37089
629	62982	36989
630	63064	36879
631	63159	36776
632	63230	36659
633	63296	36540
634	63370	36425
635	63450	36314
636	63510	36192
637	63650	36115
638	63736	36007
639	63788	35880
640	63838	35753
641	63924	35646
642	63974	35519
643	64024	35392
644	64092	35275
645	64167	35162
646	64229	35043
647	64280	34917
648	64344	34799
649	64407	34680
650	64459	34556
651	64513	34433
652	64575	34314
653	64651	34203
654	64739	34099
655	64820	33991
656	64870	33866
657	64918	33741
658	64973	33620
659	65025	33498
660	65095	33384
661	65163	33270
662	65236	33159
663	65300	33043
664	65353	32922
665	65405	32800
666	65457	32679
667	65510	32559
668	65562	32438
669	65638	32329
670	65754	32240
671	65810	32121
672	65872	32006
673	65923	31885
674	65975	31766
675	66026	31645
676	66076	31525
677	66148	31415
678	66213	31302
679	66284	31192
680	66352	31081
681	66415	30967
682	66464	30848
683	66512	30728
684	66579	30616
685	66644	30504
686	66696	30387
687	66748	30269
688	66828	30164
689	66897	30055
690	66963	29944
691	67014	29827
692	67091	29721
693	67142	29604
694	67195	29488
695	67268	29381
696	67325	29267
697	67419	29169
698	67527	29078
699	67592	28968
700	67665	28861
701	67732	28752
702	67787	28638
703	67842	28524
704	67916	28419
705	68007	28320
706	68061	28206
707	68137	28101
708	68209	27995
709	68275	27887
710	68328	27773
711	68445	27686
712	68538	27588
713	68611	27482
714	68690	27380
715	68757	27272
716	68817	27162
717	68885	27055
718	68965	26952
719	69037	26847
720	69098	26738
721	69153	26627
722	69215	26518
723	69288	26413
724	69416	26330
725	69475	26220
726	69530	26109
727	69631	26016
728	69700	25910
729	69789	25812
730	69843	25701
731	69895	25590
732	69973	25488
733	70045	25384
734	70106	25276
735	70156	25164
736	70206	25053
737	70288	24953
738	70370	24853
739	70437	24748
740	70489	24638
741	70539	24527
742	70589	24416
743	70643	24307
744	70732	24210
745	70810	24109
746	70865	24001
747	70928	23895
748	70978	23785
749	71028	23676
750	71079	23566
751	71173	23472
752	71241	23368
753	71290	23259
754	71346	23152
755	71395	23042
756	71452	22936
757	71511	22830
758	71590	22731
759	71675	22634
760	71724	22525
761	71781	22419
762	71835	22313
763	71887	22206
764	71948	22101
765	72031	22004
766	72121	21909
767	72173	21802
768	72228	21696
769	72282	21590
770	72334	21484
771	72383	21377
772	72444	21274
773	72546	21182
774	72618	21082
775	72677	20978
776	72752	20880
777	72824	20780
778	72880	20676
779	72948	20575
780	73035	20479
781	73106	20379
782	73167	20277
783	73233	20176
784	73303	20076
785	73379	19978
786	73444	19877
787	73553	19788
788	73646	19695
789	73709	19593
790	73810	19502
791	73911	19411
792	74000	19316
793	74158	19240
794	74304	19160
795	74574	19112
796	74856	19066
797	75160	19025
798	75621	19023
799	75827	18956
800	76001	18881
801	76154	18801
802	76314	18722
803	76400	18624
804	76468	18523
805	76532	18421
806	76635	18327
807	76695	18224
808	76760	18122
809	76832	18022
810	76904	17922
811	76973	17821
812	77066	17726
813	77138	17626
814	77234	17531
815	77301	17430
816	77365	17329
817	77439	17229
818	77564	17141
819	77642	17043
820	77740	16949
821	77838	16855
822	77905	16754
823	78034	16667
824	78148	16576
825	78244	16482
826	78367	16393
827	78466	16299
828	78580	16209
829	78660	16111
830	78739	16013
831	78812	15914
832	78955	15829
833	79047	15733
834	79115	15633
835	79207	15538
836	79287	15440
837	79349	15339
838	79429	15242
839	79501	15143
840	79588	15047
841	79654	14947
842	79713	14845
843	79771	14744
844	79876	14651
845	79948	14553
846	80009	14452
847	80064	14351
848	80133	14252
849	80209	14154
850	80296	14058
851	80367	13960
852	80425	13860
853	80487	13760
854	80555	13661
855	80627	13563
856	80708	13467
857	80789	13370
858	80849	13270
859	80908	13171
860	80971	13072
861	81055	12976
862	81132	12879
863	81206	12782
864	81279	12685
865	81339	12585
866	81412	12488
867	81486	12391
868	81556	12294
869	81622	12196
870	81699	12100
871	81761	12001
872	81841	11905
873	81913	11809
874	81981	11711
875	82039	11612
876	82116	11516
877	82184	11419
878	82253	11322
879	82331	11226
880	82411	11131
881	82486	11035
882	82587	10943
883	82659	10846
884	82725	10749
885	82807	10654
886	82884	10559
887	82949	10462
888	83061	10371
889	83132	10274
890	83192	10177
891	83270	10082
892	83370	9989
893	83456	9895
894	83529	9799
895	83607	9704
896	83700	9611
897	83780	9516
898	83868	9422
899	83932	9325
900	83989	9228
901	84078	9134
902	84171	9041
903	84232	8945
904	84298	8848
905	84383	8755
906	84459	8660
907	84542	8565
908	84612	8470
909	84691	8376
910	84760	8280
911	84843	8186
912	84910	8091
913	84986	7996
914	85052	7901
915	85120	7805
916	85190	7710
917	85269	7616
918	85332	7521
919	85401	7426
920	85483	7332
921	85565	7238
922	85660	7146
923	85720	7050
924	85793	6956
925	85859	6861
926	85981	6770
927	86090	6679
928	86161	6585
929	86223	6489
930	86281	6394
931	86358	6300
932	86447	6207
933	86522	6114
934	86590	6019
935	86661	5925
936	86722	5830
937	86820	5738
938	86918	5646
939	86998	5553
940	87104	5461
941	87191	5368
942	87346	5279
943	87490	5190
944	87630	5100
945	87749	5008
946	87903	4919
947	88016	4827
948	88119	4735
949	88250	4644
950	88346	4552
951	88445	4459
952	88548	4367
953	88643	4274
954	88755	4182
955	88900	4091
956	89028	4000
957	89171	3909
958	89320	3818
959	89405	3725
960	89553	3634
961	89617	3539
962	89689	3446
963	89803	3353
964	89878	3259
965	89954	3166
966	90033	3072
967	90112	2978
968	90185	2885
969	90267	2791
970	90331	2697
971	90408	2604
972	90473	2510
973	90532	2416
974	90639	2324
975	90781	2232
976	90857	2138
977	90929	2045
978	91007	1952
979	91116	1859
980	91209	1766
981	91273	1673
982	91351	1579
983	91457	1487
984	91587	1394
985	91671	1301
986	91751	1208
987	91851	1115
988	91966	1022
989	92062	929
990	92210	837
991	92313	744
992	92501	652
993	92625	559
994	92778	466
995	93028	373
996	93189	280
997	93275	186
998	93356	93
999	93453	0
